step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,reward
1,14.17,-0.008397480755773214,-0.6780118346214294,0.056066771803165216,1.0,0.056066771803165216,0.056066771803165216,0.12386795526530817,0.056066771803165216,-0.06780118346214295,0.0,0.12386795526530817,0,0,-0.0010401787705974026,6.780118346214295e-05,0.9988920200459405,1.0,0.0011079799540595348,0.0011079799540595348,-0.0012673654925918299
2,13.47,-0.04940014114326036,-0.7916468381881714,0.0,1.0,0.0,0.0,0.056066771803165216,0.0,-0.056066771803165216,0.0,0.056066771803165216,0,0,-0.0027697064405233316,5.6066771803165217e-05,0.996069377733688,1.0,0.003930622266312023,0.002822642312252488,-0.003250040299539158
3,14.78,0.09725315515961386,0.7536414265632629,0.0753641426563263,1.0,0.0753641426563263,0.0753641426563263,0.0,0.0753641426563263,0.0753641426563263,0.0,0.0,0,0,0.0,7.536414265632629e-05,0.9959943098190089,1.0,0.004005690180991062,7.506791467903895e-05,-0.00022666040336881123
4,14.44,-0.0230040595399188,0.38571953773498535,0.11393609642982483,1.0,0.11393609642982483,0.11393609642982483,0.0753641426563263,0.11393609642982483,0.038571953773498535,0.0753641426563263,0.0,0,0,-0.0017336812248410643,3.8571953773498535e-05,0.9942291557375501,1.0,0.005770844262449892,0.0017651540814588307,-0.004181163173823074
5,14.66,0.015235457063711957,0.209779292345047,0.13491402566432953,1.0,0.13491402566432953,0.13491402566432953,0.11393609642982483,0.13491402566432953,0.0209779292345047,0.038571953773498535,0.0753641426563263,0,0,0.0017358685051635414,2.09779292345047e-05,0.9959341499470383,1.0,0.004065850052961673,0.0,0.0015695896415932205
6,14.51,-0.010231923601637131,-0.02692028135061264,0.13222199752926828,1.0,0.13222199752926828,0.13222199752926828,0.13491402566432953,0.13222199752926828,-0.002692028135061253,0.0209779292345047,0.11393609642982483,0,0,-0.001380430003386731,2.692028135061253e-06,0.9945566514823017,1.0,0.005443348517698343,0.0013774984647366706,-0.0020951089771838265
7,14.03,-0.033080634045485904,-0.2766692042350769,0.10455507710576059,1.0,0.10455507710576059,0.10455507710576059,0.13222199752926828,0.10455507710576059,-0.027666920423507685,0.0,0.13222199752926828,0,0,-0.004373987513028865,2.7666920423507684e-05,0.990178956787985,1.0,0.009821043212015046,0.004377694694316703,-0.005189870344193727
8,13.75,-0.0199572344975053,0.16378837823867798,0.12093391492962839,1.0,0.12093391492962839,0.12093391492962839,0.10455507710576059,0.12093391492962839,0.0163788378238678,0.0,0.10455507710576059,0,0,-0.0020866301917044122,1.63788378238678e-05,0.9880966015010109,1.0,0.011903398498989137,0.0020823552869740913,-0.0030327159443851405
9,14.12,0.02690909090909085,-1.0,0.020933914929628386,1.0,0.020933914929628386,0.020933914929628386,0.12093391492962839,0.020933914929628386,-0.1,0.0163788378238678,0.10455507710576059,0,0,0.0032542217108336297,0.0001,0.9912132772538662,1.0,0.00878672274613379,0.0,0.002796045717813459
10,14.07,-0.0035410764872520492,1.0,0.12093391492962839,1.0,0.12093391492962839,0.12093391492962839,0.020933914929628386,0.12093391492962839,0.1,0.0,0.020933914929628386,0,0,-7.412859394344172e-05,0.0001,0.9910406786796,1.0,0.008959321320400004,0.00017259857426621394,-0.0003337232652622056
11,14.88,0.05756929637526656,-0.22542309761047363,0.09839160516858103,1.0,0.09839160516858103,0.09839160516858103,0.12093391492962839,0.1,-0.020933914929628386,0.1,0.020933914929628386,0,0,0.00696208039040505,2.0933914929628388e-05,0.9979196371934699,1.0,0.0020803628065301227,0.0,0.007056410815756908
12,14.53,-0.02352150537634418,0.009351360611617565,0.10093513606116176,1.0,0.10093513606116176,0.10093513606116176,0.1,0.10093513606116176,0.0009351360611617593,0.0,0.1,0,0,-0.0023521505376344182,9.351360611617593e-07,0.9955714467916905,1.0,0.0044285532083094825,0.0023481904017793598,-0.00436435501464573
13,14.58,0.0034411562284928227,-0.08739025890827179,0.09219611017033459,1.0,0.09219611017033459,0.09219611017033459,0.10093513606116176,0.09219611017033459,-0.008739025890827173,0.0009351360611617593,0.1,0,0,0.0003473335721306373,8.739025890827174e-06,0.9959085418539662,1.0,0.004091458146033844,0.0,-0.001686567161488287
14,14.11,-0.032235939643347096,-0.7612187266349792,0.01607423750683666,1.0,0.01607423750683666,0.01607423750683666,0.09219611017033459,0.01607423750683666,-0.07612187266349793,0.0,0.09219611017033459,0,0,-0.002972028242802285,7.612187266349793e-05,0.9928728631171206,1.0,0.007127136882879359,0.003035678736845515,-0.007229857492805263
15,13.96,-0.010630758327427256,0.3020065724849701,0.04627489475533367,1.0,0.04627489475533367,0.04627489475533367,0.01607423750683666,0.04627489475533367,0.030200657248497007,0.0,0.01607423750683666,0,0,-0.00017088133423284738,3.0200657248497006e-05,0.9926732142645174,1.0,0.007326785735482622,0.00019964885260326248,-0.0002295489675531268
16,13.99,0.002148997134670441,0.3915417790412903,0.0854290726594627,1.0,0.0854290726594627,0.0854290726594627,0.04627489475533367,0.0854290726594627,0.039154177904129034,0.030200657248497007,0.01607423750683666,0,0,9.944461623638827e-05,3.9154177904129035e-05,0.992733062967726,1.0,0.00726693703227399,0.0,7.380205938912293e-05
17,13.8,-0.013581129378127199,0.06246465444564819,0.09167553810402752,1.0,0.09167553810402752,0.09167553810402752,0.0854290726594627,0.09167553810402752,0.006246465444564822,0.039154177904129034,0.04627489475533367,0,0,-0.001160223288441592,6.246465444564823e-06,0.9915750698760915,1.0,0.008424930123908547,0.001157993091634557,-0.0010089449798850272
18,13.06,-0.05362318840579711,-0.6458193063735962,0.027093607466667904,1.0,0.027093607466667904,0.027093607466667904,0.09167553810402752,0.027093607466667904,-0.06458193063735962,0.006246465444564822,0.0854290726594627,0,0,-0.0049159346519551,6.458193063735963e-05,0.9866365137976884,1.0,0.013363486202311647,0.0049385560784031,-0.005184730496565119
19,12.63,-0.03292496171516077,-0.4840182065963745,0.0,1.0,0.0,0.0,0.027093607466667904,0.0,-0.027093607466667904,0.0,0.027093607466667904,0,0,-0.0008920559885656348,2.7093607466667907e-05,0.9857296472446004,1.0,0.014270352755399562,0.000906866553087915,-0.0012275240258989746
20,11.96,-0.05304829770387964,0.16435417532920837,0.016435417532920837,1.0,0.016435417532920837,0.016435417532920837,0.0,0.016435417532920837,0.016435417532920837,0.0,0.0,0,0,-0.0,1.6435417532920836e-05,0.9857134463662733,1.0,0.014286553633726662,1.6200878327099488e-05,-4.9333264893710655e-05
21,12.37,0.03428093645484936,-0.8157542943954468,0.0,1.0,0.0,0.0,0.016435417532920837,0.016435417532920837,-0.0,0.016435417532920837,0.0,0,0,0.0005634215040549762,0.0,0.9862688185187923,1.0,0.013731181481207666,0.0,0.0005962653268258697
22,11.83,-0.043654001616814805,0.45201438665390015,0.06163685619831086,1.0,0.06163685619831086,0.06163685619831086,0.016435417532920837,0.06163685619831086,0.04520143866539002,0.0,0.016435417532920837,0,0,-0.0007174717435551526,4.520143866539002e-05,0.9855166177404477,1.0,0.014483382259552258,0.0007522007783445916,-0.0008205851346896822
23,12.24,0.03465765004226544,-1.0,0.0,1.0,0.0,0.0,0.06163685619831086,0.04520143866539002,-0.01643541753292084,0.04520143866539002,0.01643541753292084,0,0,0.002136188591826497,1.643541753292084e-05,0.9876056697192221,1.0,0.012394330280777854,0.0,0.0021442100644869302
24,12.29,0.0040849673202613505,0.03905346989631653,0.04910678565502167,1.0,0.04910678565502167,0.04910678565502167,0.04520143866539002,0.04910678565502167,0.0039053469896316514,0.0,0.04520143866539002,0,0,0.00018464639977691606,3.905346989631652e-06,0.9877841706077061,1.0,0.012215829392293931,0.0,0.00026309208849906434
25,12.54,0.020341741253051264,0.11674828827381134,0.0607816144824028,1.0,0.0607816144824028,0.0607816144824028,0.04910678565502167,0.0607816144824028,0.011674828827381134,0.0039053469896316514,0.04520143866539002,0,0,0.0009989175275635003,1.1674828827381134e-05,0.9887593533180656,1.0,0.011240646681934363,0.0,0.0010617371719254913
26,12.33,-0.016746411483253516,0.20252832770347595,0.0810344472527504,1.0,0.0810344472527504,0.0810344472527504,0.0607816144824028,0.0810344472527504,0.020252832770347597,0.011674828827381134,0.04910678565502167,0,0,-0.0010178739267387986,2.0252832770347596e-05,0.9877328957746713,1.0,0.012267104225328729,0.0010264575433943657,-0.001663153994443885
27,11.88,-0.036496350364963445,-0.36334654688835144,0.04469979256391526,1.0,0.04469979256391526,0.04469979256391526,0.0810344472527504,0.04469979256391526,-0.03633465468883514,0.020252832770347597,0.0607816144824028,0,0,-0.0029574615785675283,3.633465468883514e-05,0.9847758247518376,1.0,0.015224175248162441,0.0029570710228337127,-0.003049935074029399
28,11.71,-0.014309764309764304,-0.3157350718975067,0.013126285374164583,1.0,0.013126285374164583,0.013126285374164583,0.04469979256391526,0.013126285374164583,-0.031573507189750674,0.0,0.04469979256391526,0,0,-0.0006396434962849824,3.157350718975067e-05,0.9841148264736533,1.0,0.015885173526346663,0.0006609982781842216,-0.000771275691422179
29,11.45,-0.022203245089667083,0.13147270679473877,0.026273556053638458,1.0,0.026273556053638458,0.026273556053638458,0.013126285374164583,0.026273556053638458,0.013147270679473876,0.0,0.013126285374164583,0,0,-0.00029144613127948864,1.3147270679473875e-05,0.9838150715907394,1.0,0.016184928409260557,0.00029975488291389407,-0.00030470440254435146
