step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,reward
1,14.17,-0.008397480755773214,-1.0,0.2783258691238292,0.8,0.2783258691238292,0.2783258691238292,0.37832586912382915,0.2783258691238292,-0.09999999999999998,0.0,0.37832586912382915,0,0,-0.0023372361298012096,9.999999999999998e-05,0.9975627638701988,1.0,0.002437236129801179,0.002437236129801179,-0.007241192041583391
2,13.47,-0.04940014114326036,-1.0,0.17832586912382917,0.8,0.17832586912382917,0.17832586912382917,0.2783258691238292,0.17832586912382917,-0.1,0.0,0.2783258691238292,0,0,-0.008809323104211736,0.0001,0.9886751548901487,1.0,0.011324845109851323,0.008887608980050143,-0.026646625612196988
3,14.78,0.09725315515961386,0.2338242530822754,0.2017082944320567,0.8,0.2017082944320567,0.2017082944320567,0.17832586912382917,0.2017082944320567,0.02338242530822754,0.0,0.17832586912382917,0,0,0.019616768055381886,2.338242530822754e-05,1.0080466484627841,1.0080466484627841,0.0,0.0,0.019678307652453163
4,14.44,-0.0230040595399188,-1.0,0.1017082944320567,0.8,0.1017082944320567,0.1017082944320567,0.2017082944320567,0.1017082944320567,-0.1,0.02338242530822754,0.17832586912382917,0,0,-0.002339703660818624,0.0001,1.0055873133642537,1.0080466484627841,0.0024397036608184946,0.0024397036608184946,-0.007314292752090146
5,14.66,0.015235457063711957,1.0,0.2017082944320567,0.8,0.2017082944320567,0.2017082944320567,0.1017082944320567,0.2017082944320567,0.1,0.0,0.1017082944320567,0,0,0.0030731180592141693,0.0001,1.0085770431657335,1.0085770431657335,0.0,0.0,0.0030197312942477897
6,14.51,-0.010231923601637131,-0.7834108471870422,0.12336720971335248,0.8,0.12336720971335248,0.12336720971335248,0.2017082944320567,0.12336720971335248,-0.07834108471870423,0.1,0.1017082944320567,0,0,-0.0012622838647341687,7.834108471870423e-05,1.0072249196182201,1.0085770431657335,0.0013406249494528346,0.0013406249494528346,-0.003996156745949358
7,14.03,-0.033080634045485904,1.0,0.2233672097133525,0.8,0.2233672097133525,0.2233672097133525,0.12336720971335248,0.2233672097133525,0.10000000000000002,0.0,0.12336720971335248,0,0,-0.0073891289222887185,0.00010000000000000002,0.9996816823414574,1.0085770431657335,0.008819713758658681,0.0074790888092058465,-0.022393221961097477
8,13.75,-0.0199572344975053,1.0,0.32336720971335253,0.8,0.32336720971335253,0.32336720971335253,0.2233672097133525,0.32336720971335253,0.10000000000000003,0.10000000000000002,0.12336720971335248,0,0,-0.006453515233053351,0.00010000000000000003,0.9931302532080282,1.0085770431657335,0.015315428863243559,0.006495715104584878,-0.019463664927785777
9,14.12,0.02690909090909085,-1.0,0.22336720971335253,0.8,0.22336720971335253,0.22336720971335253,0.32336720971335253,0.22336720971335253,-0.1,0.10000000000000003,0.2233672097133525,0,0,0.006010608552286564,0.0001,0.9990002573761742,1.0085770431657335,0.009495343815777931,0.0,0.0059646931318894985
10,14.07,-0.0035410764872520492,-0.614853024482727,0.1618819072650798,0.8,0.1618819072650798,0.1618819072650798,0.22336720971335253,0.1618819072650798,-0.061485302448272716,0.0,0.22336720971335253,0,0,-0.0005732362155278908,6.148530244827272e-05,0.9983661704163538,1.0085770431657335,0.010124038434713623,0.0006286946189356917,-0.0018414477138525033
