date,open,high,low,close,volume,amount
2018-06-08,13.34,16.65,13.34,16.65,16726,33034126.0
2018-06-11,18.63,18.63,18.63,18.63,19323,42143158.0
2018-06-12,20.81,20.81,20.81,20.81,144924,347672464.0
2018-06-13,21.37,23.18,20.38,22.54,6332171,15809621760.0
2018-06-14,21.33,21.68,19.97,20.11,3477821,8310515712.0
2018-06-15,19.42,19.95,18.84,19.4,2138700,4811430400.0
2018-06-19,18.65,18.66,17.14,17.14,2099677,4356754176.0
2018-06-20,16.62,17.08,15.83,16.68,1982719,3891767824.0
2018-06-21,16.42,16.6,14.87,14.99,1978495,3736018336.0
2018-06-22,14.52,16.0,14.35,15.54,1755750,3268487584.0
2018-06-25,15.44,15.58,14.95,15.03,1154430,2124064368.0
2018-06-26,14.56,15.48,14.37,15.35,1137258,2080931360.0
2018-06-27,15.32,15.68,15.0,15.09,970391,1792739744.0
2018-06-28,15.04,15.46,14.58,14.71,863991,1575076752.0
2018-06-29,14.77,15.43,14.42,15.26,1278004,2332307632.0
2018-07-02,15.02,15.17,13.92,14.41,1218066,2178274832.0
2018-07-03,14.36,14.79,13.92,14.72,897425,1580629712.0
2018-07-04,14.52,14.69,13.94,13.99,807241,1406844064.0
2018-07-05,13.82,14.32,13.53,13.78,911993,1556919120.0
2018-07-06,13.73,14.5,13.62,14.05,1056906,1823931936.0
2018-07-09,14.05,14.32,13.91,14.29,800840,1388137552.0
2018-07-10,14.33,14.36,14.02,14.17,656169,1137038432.0
2018-07-11,13.77,13.92,13.36,13.47,792350,1326556528.0
2018-07-12,13.47,15.1,13.47,14.78,1794765,3159557648.0
2018-07-13,14.52,14.61,14.3,14.44,994409,1752297232.0
2018-07-16,14.44,15.01,14.38,14.66,910022,1629162608.0
2018-07-17,14.66,14.67,14.26,14.51,611768,1077433088.0
2018-07-18,14.51,14.58,14.0,14.03,621401,1086314080.0
2018-07-19,14.0,14.2,13.69,13.75,526953,897483168.0
2018-07-20,13.73,14.3,13.55,14.12,712705,1224951712.0
2018-07-23,13.93,14.12,13.86,14.07,483686,830800480.0
2018-07-24,14.05,14.92,14.02,14.88,1250545,2216366256.0
2018-07-25,14.82,14.83,14.41,14.53,859807,1530209680.0
2018-07-26,14.48,14.87,14.45,14.58,665397,1185426896.0
2018-07-27,14.5,14.5,14.1,14.11,545162,950530432.0
2018-07-30,14.02,14.2,13.87,13.96,367711,631237648.0
2018-07-31,14.01,14.09,13.87,13.99,291622,500048032.0
2018-08-01,14.07,14.23,13.78,13.8,452007,776123680.0
2018-08-02,13.72,13.75,12.84,13.06,689106,1133184224.0
2018-08-03,13.09,13.16,12.62,12.63,518180,828764288.0
2018-08-06,12.59,12.67,11.93,11.96,491494,757691968.0
2018-08-07,12.02,12.39,11.86,12.37,452787,696241552.0
2018-08-08,12.23,12.29,11.82,11.83,466053,709284544.0
2018-08-09,11.81,12.4,11.62,12.24,618225,950425488.0
2018-08-10,12.14,12.35,12.13,12.29,361171,557064560.0
2018-08-13,12.01,12.65,11.9,12.54,529925,822665056.0
2018-08-14,12.55,12.58,12.26,12.33,446345,693689984.0
2018-08-15,12.21,12.31,11.86,11.88,408086,620369296.0
2018-08-16,11.67,11.97,11.53,11.71,345948,516841872.0
2018-08-17,11.91,11.96,11.44,11.45,321107,477788528.0
2018-08-20,11.47,11.75,11.35,11.74,355908,524770432.0
2018-08-21,11.72,11.96,11.63,11.84,350600,525981568.0
2018-08-22,11.81,11.81,11.52,11.56,277602,412042704.0
2018-08-23,11.59,12.02,11.59,11.95,483486,726749792.0
2018-08-24,11.86,11.94,11.74,11.81,254493,382018752.0
2018-08-27,11.82,12.24,11.82,12.13,540955,825814176.0
2018-08-28,12.13,12.3,12.04,12.14,315558,483808960.0
