step=   1 | ret=-0.0084 | act=+1.00 | cap=0.80 | raw=0.10 | sh=0.10 | pos=0.10 | eq=0.999 | dd=nan | ddi=0.0009 | reward=-0.002815
step=   2 | ret=-0.0494 | act=+1.00 | cap=0.80 | raw=0.20 | sh=0.20 | pos=0.20 | eq=0.989 | dd=nan | ddi=0.0100 | reward=-0.029875
step=   3 | ret=+0.0973 | act=-1.00 | cap=0.80 | raw=0.10 | sh=0.10 | pos=0.10 | eq=0.999 | dd=nan | ddi=0.0000 | reward=+0.009629
step=   4 | ret=-0.0230 | act=+0.97 | cap=0.80 | raw=0.20 | sh=0.20 | pos=0.20 | eq=0.994 | dd=nan | ddi=0.0046 | reward=-0.013847
step=   5 | ret=+0.0152 | act=+0.82 | cap=0.80 | raw=0.28 | sh=0.28 | pos=0.28 | eq=0.998 | dd=nan | ddi=0.0000 | reward=+0.004255
step=   6 | ret=-0.0102 | act=-1.00 | cap=0.80 | raw=0.18 | sh=0.18 | pos=0.18 | eq=0.996 | dd=nan | ddi=0.0019 | reward=-0.005763
step=   7 | ret=-0.0331 | act=+1.00 | cap=0.80 | raw=0.28 | sh=0.28 | pos=0.28 | eq=0.987 | dd=nan | ddi=0.0093 | reward=-0.027892
step=   8 | ret=-0.0200 | act=-0.89 | cap=0.80 | raw=0.19 | sh=0.19 | pos=0.19 | eq=0.983 | dd=nan | ddi=0.0038 | reward=-0.011530
step=   9 | ret=+0.0269 | act=+1.00 | cap=0.80 | raw=0.29 | sh=0.29 | pos=0.29 | eq=0.991 | dd=nan | ddi=0.0000 | reward=+0.007795
step=  10 | ret=-0.0035 | act=-1.00 | cap=0.80 | raw=0.19 | sh=0.19 | pos=0.19 | eq=0.990 | dd=nan | ddi=0.0008 | reward=-0.002268
step=  11 | ret=+0.0576 | act=+1.00 | cap=0.80 | raw=0.29 | sh=0.29 | pos=0.29 | eq=1.006 | dd=nan | ddi=0.0000 | reward=+0.016706
step=  12 | ret=-0.0235 | act=-1.00 | cap=0.80 | raw=0.19 | sh=0.19 | pos=0.19 | eq=1.002 | dd=nan | ddi=0.0046 | reward=-0.013710
step=  13 | ret=+0.0034 | act=+1.00 | cap=0.80 | raw=0.29 | sh=0.29 | pos=0.29 | eq=1.003 | dd=nan | ddi=0.0000 | reward=+0.000974
step=  14 | ret=-0.0322 | act=+0.98 | cap=0.80 | raw=0.39 | sh=0.39 | pos=0.39 | eq=0.990 | dd=nan | ddi=0.0126 | reward=-0.037645
step=  15 | ret=-0.0106 | act=-1.00 | cap=0.80 | raw=0.29 | sh=0.29 | pos=0.29 | eq=0.987 | dd=nan | ddi=0.0031 | reward=-0.009315
step=  16 | ret=+0.0021 | act=-0.79 | cap=0.80 | raw=0.21 | sh=0.21 | pos=0.21 | eq=0.987 | dd=nan | ddi=0.0000 | reward=+0.000428
step=  17 | ret=-0.0136 | act=+1.00 | cap=0.80 | raw=0.31 | sh=0.31 | pos=0.31 | eq=0.983 | dd=nan | ddi=0.0042 | reward=-0.012636
step=  18 | ret=-0.0536 | act=-1.00 | cap=0.78 | raw=0.21 | sh=0.21 | pos=0.21 | eq=0.972 | dd=nan | ddi=0.0110 | reward=-0.033300
step=  19 | ret=-0.0329 | act=+1.00 | cap=0.73 | raw=0.31 | sh=0.31 | pos=0.31 | eq=0.962 | dd=nan | ddi=0.0099 | reward=-0.030011
step=  20 | ret=-0.0530 | act=-1.00 | cap=0.68 | raw=0.21 | sh=0.21 | pos=0.21 | eq=0.951 | dd=nan | ddi=0.0107 | reward=-0.032478
step=  21 | ret=+0.0343 | act=-0.20 | cap=0.63 | raw=0.19 | sh=0.19 | pos=0.19 | eq=0.957 | dd=nan | ddi=0.0000 | reward=+0.006541
step=  22 | ret=-0.0437 | act=-1.00 | cap=0.66 | raw=0.09 | sh=0.09 | pos=0.09 | eq=0.953 | dd=nan | ddi=0.0038 | reward=-0.011567
step=  23 | ret=+0.0347 | act=+1.00 | cap=0.64 | raw=0.19 | sh=0.19 | pos=0.19 | eq=0.960 | dd=nan | ddi=0.0000 | reward=+0.006492
step=  24 | ret=+0.0041 | act=-1.00 | cap=0.67 | raw=0.09 | sh=0.09 | pos=0.10 | eq=0.960 | dd=nan | ddi=0.0000 | reward=+0.000329
step=  25 | ret=+0.0203 | act=+1.00 | cap=0.67 | raw=0.20 | sh=0.20 | pos=0.20 | eq=0.964 | dd=nan | ddi=0.0000 | reward=+0.004014
step=  26 | ret=-0.0167 | act=+1.00 | cap=0.69 | raw=0.30 | sh=0.30 | pos=0.30 | eq=0.959 | dd=nan | ddi=0.0049 | reward=-0.014862
step=  27 | ret=-0.0365 | act=-1.00 | cap=0.66 | raw=0.20 | sh=0.20 | pos=0.20 | eq=0.952 | dd=nan | ddi=0.0070 | reward=-0.021453
step=  28 | ret=-0.0143 | act=+1.00 | cap=0.63 | raw=0.30 | sh=0.30 | pos=0.30 | eq=0.948 | dd=nan | ddi=0.0042 | reward=-0.012626
step=  29 | ret=-0.0222 | act=-1.00 | cap=0.61 | raw=0.20 | sh=0.20 | pos=0.20 | eq=0.943 | dd=nan | ddi=0.0043 | reward=-0.013045
step=  30 | ret=+0.0253 | act=+0.31 | cap=0.58 | raw=0.23 | sh=0.23 | pos=0.23 | eq=0.949 | dd=nan | ddi=0.0000 | reward=+0.005916
