step=   1 | ret=-0.0084 | act=-0.62 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=+0.000000
step=   2 | ret=-0.0494 | act=-0.06 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=+0.000000
step=   3 | ret=+0.0973 | act=+0.60 | cap=0.80 | raw=0.06 | sh=0.06 | pos=0.06 | eq=1.006 | dd=nan | ddi=0.0000 | reward=+0.005811
step=   4 | ret=-0.0230 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.06 | eq=1.004 | dd=nan | ddi=0.0014 | reward=-0.004130
step=   5 | ret=+0.0152 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0001 | reward=-0.000211
step=   6 | ret=-0.0102 | act=-0.57 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=   7 | ret=-0.0331 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=   8 | ret=-0.0200 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=   9 | ret=+0.0269 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  10 | ret=-0.0035 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  11 | ret=+0.0576 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  12 | ret=-0.0235 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  13 | ret=+0.0034 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  14 | ret=-0.0322 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  15 | ret=-0.0106 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  16 | ret=+0.0021 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  17 | ret=-0.0136 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  18 | ret=-0.0536 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  19 | ret=-0.0329 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  20 | ret=-0.0530 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  21 | ret=+0.0343 | act=-0.46 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  22 | ret=-0.0437 | act=-0.49 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  23 | ret=+0.0347 | act=-0.69 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  24 | ret=+0.0041 | act=-0.32 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  25 | ret=+0.0203 | act=-0.75 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  26 | ret=-0.0167 | act=-0.97 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  27 | ret=-0.0365 | act=-0.97 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  28 | ret=-0.0143 | act=-0.93 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  29 | ret=-0.0222 | act=-0.73 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
step=  30 | ret=+0.0253 | act=-0.40 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.004 | dd=nan | ddi=0.0000 | reward=+0.000000
