step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,reward
1,14.17,-0.008397480755773214,-0.6150497794151306,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,13.47,-0.04940014114326036,-0.05658068135380745,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,14.78,0.09725315515961386,0.6033272743225098,0.06033272743225098,0.8,0.06033272743225098,0.06033272743225098,0.0,0.06033272743225098,0.06033272743225098,0.0,0.0,0,0,0.005867548102171396,6.033272743225098e-05,1.0058072153747393,1.0058072153747393,0.0,0.0,0.005811064624682721
4,14.44,-0.0230040595399188,-1.0,0.0,0.8,0.0,0.0,0.06033272743225098,0.06033272743225098,-0.0,0.06033272743225098,0.0,0,0,-0.001387897654057194,0.0,1.0044112579000868,1.0058072153747393,0.0013878976540572811,0.0013878976540572811,-0.004129677348512054
5,14.66,0.015235457063711957,-1.0,0.0,0.8,0.0,0.0,0.06033272743225098,0.0,-0.06033272743225098,0.0,0.06033272743225098,0,0,0.0,6.033272743225098e-05,1.004350659029434,1.0058072153747393,0.0014481466458386905,6.024899178140933e-05,-0.00021099707471119512
6,14.51,-0.010231923601637131,-0.5654854774475098,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
7,14.03,-0.033080634045485904,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
8,13.75,-0.0199572344975053,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
9,14.12,0.02690909090909085,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
10,14.07,-0.0035410764872520492,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
11,14.88,0.05756929637526656,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
12,14.53,-0.02352150537634418,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
13,14.58,0.0034411562284928227,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
14,14.11,-0.032235939643347096,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
15,13.96,-0.010630758327427256,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
16,13.99,0.002148997134670441,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
17,13.8,-0.013581129378127199,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
18,13.06,-0.05362318840579711,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
19,12.63,-0.03292496171516077,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
20,11.96,-0.05304829770387964,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
21,12.37,0.03428093645484936,-0.45704108476638794,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
22,11.83,-0.043654001616814805,-0.49426978826522827,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
23,12.24,0.03465765004226544,-0.6924397945404053,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
24,12.29,0.0040849673202613505,-0.31794822216033936,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
25,12.54,0.020341741253051264,-0.7450883388519287,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
26,12.33,-0.016746411483253516,-0.9694423079490662,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
27,11.88,-0.036496350364963445,-0.9718708992004395,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
28,11.71,-0.014309764309764304,-0.9329055547714233,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
29,11.45,-0.022203245089667083,-0.7333717346191406,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
30,11.74,0.02532751091703065,-0.3981969356536865,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
31,11.84,0.008517887563884127,-0.479847252368927,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
32,11.56,-0.023648648648648594,-0.4439067244529724,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
33,11.95,0.03373702422145318,-0.5708555579185486,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
34,11.81,-0.011715481171548017,-0.7443733215332031,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
35,12.13,0.02709568162574092,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
36,12.14,0.0008244023083264457,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.004350659029434,1.0058072153747393,0.0014481466458386905,0.0,0.0
