step=   1 | ret=-0.0084 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=   2 | ret=-0.0494 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=   3 | ret=+0.0973 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=   4 | ret=-0.0230 | act=-0.09 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.003193
step=   5 | ret=+0.0152 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000613
step=   6 | ret=-0.0102 | act=-0.97 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.001402
step=   7 | ret=-0.0331 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.001250
step=   8 | ret=-0.0200 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.001549
step=   9 | ret=+0.0269 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  10 | ret=-0.0035 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  11 | ret=+0.0576 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  12 | ret=-0.0235 | act=-0.10 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.002802
step=  13 | ret=+0.0034 | act=-0.75 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.002723
step=  14 | ret=-0.0322 | act=-0.03 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.004206
step=  15 | ret=-0.0106 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  16 | ret=+0.0021 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  17 | ret=-0.0136 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  18 | ret=-0.0536 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  19 | ret=-0.0329 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  20 | ret=-0.0530 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  21 | ret=+0.0343 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  22 | ret=-0.0437 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  23 | ret=+0.0347 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  24 | ret=+0.0041 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  25 | ret=+0.0203 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  26 | ret=-0.0167 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.001003
step=  27 | ret=-0.0365 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  28 | ret=-0.0143 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  29 | ret=-0.0222 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
step=  30 | ret=+0.0253 | act=-1.00 | cap=0.80 | raw=0.00 | sh=0.00 | pos=0.00 | eq=1.000 | dd=nan | ddi=0.0000 | reward=-0.000200
