step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos,part_gap,part_pen,reward
1,14.17,-0.008397480755773214,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
2,13.47,-0.04940014114326036,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
3,14.78,0.09725315515961386,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
4,14.44,-0.0230040595399188,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.14963265185447233,0.11970612148357787,0.11970612148357787,0.002484996549344553,-0.005617429177546683
5,14.66,0.015235457063711957,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.02064851611415025,0.016518812891320202,0.016518812891320202,0.0001273853548793284,-0.0006027447868308236
6,14.51,-0.010231923601637131,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.06011938610801598,0.048095508886412786,0.048095508886412786,0.0006328605681161749,-0.001921319921941304
7,14.03,-0.033080634045485904,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05251419962927925,0.0420113597034234,0.0420113597034234,0.0005166558569502325,-0.0016484483693133853
8,13.75,-0.0199572344975053,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.06746873133578983,0.05397498506863187,0.05397498506863187,0.0007523848580670583,-0.002192240723584329
9,14.12,0.02690909090909085,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
10,14.07,-0.0035410764872520492,-1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
