step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos_raw,desired_pos,part_gap,part_pen,reward
1,14.17,-0.008397480755773214,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
2,13.47,-0.04940014114326036,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
3,14.78,0.09725315515961386,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5e-05
4,14.44,-0.0230040595399188,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.14963265185447233,0.11970612148357787,0.034999999999999996,0.034999999999999996,0.00039287402561126374,-0.003525306653813394
5,14.66,0.015235457063711957,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.02064851611415025,0.016518812891320202,0.02853158451196207,0.02853158451196207,0.0002891612456455182,-0.0007645206775970133
6,14.51,-0.010231923601637131,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.06011938610801598,0.048095508886412786,0.03537895804301982,0.03537895804301982,0.0003992719563215461,-0.0016877313101466753
7,14.03,-0.033080634045485904,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.05251419962927925,0.0420113597034234,0.03770029862416108,0.03770029862416108,0.00043920617333648127,-0.0015709986856996339
8,13.75,-0.0199572344975053,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.06746873133578983,0.05397498506863187,0.04339643887972585,0.04339643887972585,0.0005424158722234701,-0.0019822717377407408
9,14.12,0.02690909090909085,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.028207685271821804,0.028207685271821804,0.00028425127696119623,-0.00033425127696119625
10,14.07,-0.0035410764872520492,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.018334995426684174,0.018334995426684174,0.0001489609589093705,-0.0001989609589093705
11,14.88,0.05756929637526656,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011917747027344713,0.011917747027344713,7.806250693546851e-05,-0.0001280625069354685
12,14.53,-0.02352150537634418,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.13011945061025793,0.10409556048820634,0.044179981738646276,0.044179981738646276,0.000557172340054646,-0.003287633022625959
13,14.58,0.0034411562284928227,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.12613050327533962,0.1009044026202717,0.06403352904721518,0.06403352904721518,0.000972215199910244,-0.0036205035673822403
14,14.11,-0.032235939643347096,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.2002965475961918,0.16023723807695345,0.09770482720762358,0.09770482720762358,0.0018324210913519773,-0.006008529971833528
15,13.96,-0.010630758327427256,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06350813768495533,0.06350813768495533,0.0009602743242233809,-0.0010102743242233808
16,13.99,0.002148997134670441,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.041280289495220966,0.041280289495220966,0.0005032286422125368,-0.0005532286422125368
17,13.8,-0.013581129378127199,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.026832188171893628,0.026832188171893628,0.00026371533628984594,-0.00031371533628984596
18,13.06,-0.05362318840579711,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.017440922311730857,0.017440922311730857,0.00013819916586761794,-0.00018819916586761793
19,12.63,-0.03292496171516077,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011336599502625057,0.011336599502625057,7.242282422859894e-05,-0.00012242282422859893
20,11.96,-0.05304829770387964,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007368789676706287,0.007368789676706287,3.795294592639457e-05,-8.795294592639457e-05
21,12.37,0.03428093645484936,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0047897132898590865,0.0047897132898590865,1.988911810377898e-05,-6.988911810377899e-05
22,11.83,-0.043654001616814805,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0031133136384084064,0.0031133136384084064,1.0422827775036109e-05,-6.042282777503611e-05
23,12.24,0.03465765004226544,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002023653864965464,0.002023653864965464,5.462049059250302e-06,-5.5462049059250306e-05
24,12.29,0.0040849673202613505,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0013153750122275518,0.0013153750122275518,2.8623690777192918e-06,-5.28623690777193e-05
25,12.54,0.020341741253051264,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0008549937579479087,0.0008549937579479087,1.5000152228966146e-06,-5.150001522289662e-05
26,12.33,-0.016746411483253516,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.040151942738662,0.0321215541909296,0.011798289909491501,0.011798289909491501,7.689176777941052e-05,-0.0009540217881958478
27,11.88,-0.036496350364963445,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.007668888441169476,0.007668888441169476,4.0294881286395135e-05,-9.029488128639514e-05
