step,close,price_return,action_delta,raw_target,risk_cap,shielded_target,target_position,prev_position,position,executed_trade,locked_position,sellable_position,limit_up,limit_down,pnl,cost,equity,max_equity,drawdown,dd_increase,signal,desired_pos_raw,desired_pos,part_gap,part_pen,reward
1,14.17,-0.008397480755773214,1.0,0.1,0.8,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0,0,-0.0,0.0001,0.9999,1.0,9.999999999998899e-05,9.999999999998899e-05,0.0,0.0,0.0,0.0,0.0,-0.00039600000000000003
2,13.47,-0.04940014114326036,1.0,0.2,0.8,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0,0,-0.004940014114326036,0.0001,0.9948604898870854,1.0,0.00513951011291458,0.005039510112914591,0.0,0.0,0.0,0.0,0.0,-0.005294014114326036
3,14.78,0.09725315515961386,1.0,0.30000000000000004,0.8,0.30000000000000004,0.30000000000000004,0.2,0.30000000000000004,0.10000000000000003,0.1,0.1,0,0,0.019450631031922773,0.00010000000000000003,1.0141116681551283,1.0141116681551283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01912663103192277
4,14.44,-0.0230040595399188,1.0,0.4,0.8,0.4,0.4,0.30000000000000004,0.4,0.09999999999999998,0.10000000000000003,0.2,0,0,-0.006901217861975641,9.999999999999998e-05,1.0070116514300027,1.0141116681551283,0.0070012178619756555,0.0070012178619756555,0.14963265185447233,0.11970612148357787,0.034999999999999996,0.0,0.0,-0.00840427907681142
5,14.66,0.015235457063711957,1.0,0.5,0.8,0.5,0.5,0.4,0.5,0.09999999999999998,0.09999999999999998,0.30000000000000004,0,0,0.006094182825484783,9.999999999999998e-05,1.0130478633760676,1.0141116681551283,0.0010490016163565452,0.0,0.02064851611415025,0.016518812891320202,0.02853158451196207,0.0,0.0,0.005690940244914032
6,14.51,-0.010231923601637131,1.0,0.6,0.8,0.6,0.6,0.5,0.6,0.09999999999999998,0.09999999999999998,0.4,0,0,-0.005115961800818566,9.999999999999998e-05,1.0077638444182972,1.0141116681551283,0.006259491864815075,0.00521049024845853,0.06011938610801598,0.048095508886412786,0.03537895804301982,0.0,0.0,-0.005542200573034597
7,14.03,-0.033080634045485904,1.0,0.7,0.8,0.7,0.7,0.6,0.7,0.09999999999999998,0.09999999999999998,0.5,0,0,-0.01984838042729154,9.999999999999998e-05,0.9876605878689713,1.0141116681551283,0.0260830055671057,0.019823513702290622,0.05251419962927925,0.0420113597034234,0.03770029862416108,0.0,0.0,-0.03976689363224351
8,13.75,-0.0199572344975053,1.0,0.7999999999999999,0.7695849720396255,0.7695849720396255,0.7695849720396255,0.7,0.7695849720396255,0.06958497203962555,0.09999999999999998,0.6,0,0,-0.01397006414825371,6.958497203962555e-05,0.9737941797653483,1.0141116681551283,0.039756458441234155,0.013673452874128456,0.06746873133578983,0.05192292171860282,0.04267821670721569,0.0,0.0,-0.03652290886032363
9,14.12,0.02690909090909085,1.0,0.8695849720396255,0.7012177087391276,0.7012177087391276,0.7012177087391276,0.7695849720396255,0.7012177087391276,-0.06836726330049792,0.06958497203962555,0.7,0,0,0.020708831974884424,6.836726330049792e-05,0.993893744169141,1.0141116681551283,0.01993658550716388,0.0,0.0,0.0,0.027740840859690197,0.0,0.0,-0.0636567455000029
10,14.07,-0.0035410764872520492,1.0,0.8012177087391276,0.8,0.8,0.8,0.7012177087391276,0.8,0.09878229126087246,0.0,0.7012177087391276,0,0,-0.0024830655408608804,9.878229126087245e-05,0.9913276617603985,1.0141116681551283,0.022466960109214038,0.002530374602050158,0.0,0.0,0.018031546558798628,0.0,0.0,-0.0034404402210985673
11,14.88,0.05756929637526656,1.0,0.9,0.7876652028414711,0.7876652028414711,0.7876652028414711,0.8,0.7876652028414711,-0.01233479715852892,0.09878229126087246,0.7012177087391276,0,0,0.04605543710021325,1.233479715852892e-05,1.0369714627066806,1.0369714627066806,0.0,0.0,0.0,0.0,0.011720505263219109,0.0,0.0,-0.010067118827620071
12,14.53,-0.02352150537634418,1.0,0.8876652028414711,0.8,0.8,0.8,0.7876652028414711,0.8,0.01233479715852892,0.0,0.7876652028414711,0,0,-0.01852707130339489,1.233479715852892e-05,1.0177466276448766,1.0369714627066806,0.01853940610055344,0.01853940610055344,0.13011945061025793,0.10409556048820634,0.04405177459196463,0.0,0.0,-0.07887751371000966
13,14.58,0.0034411562284928227,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.0,0.01233479715852892,0.7876652028414711,0,0,0.002752924982794258,0.0,1.0205484077622746,1.0369714627066806,0.01583751871197968,0.0,0.12613050327533962,0.1009044026202717,0.0639501944018721,0.0,0.0,-0.04664655300410438
14,14.11,-0.032235939643347096,1.0,0.9,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0,0,-0.025788751714677677,0.0,0.9942297382616837,1.0369714627066806,0.041217840588817535,0.025380321876837857,0.2002965475961918,0.16023723807695345,0.09765065968815057,0.0,0.0,-0.10565220927796862
15,13.96,-0.010630758327427256,1.0,0.9,0.6939107939627467,0.6939107939627467,0.6939107939627467,0.8,0.6939107939627467,-0.10608920603725336,0.0,0.8,0,0,-0.008504606661941805,0.00010608920603725336,0.9856687283626119,1.0369714627066806,0.04947362216715149,0.008255781578333954,0.0,0.0,0.06347292879729786,0.0,0.0,-0.11189917194534527
16,13.99,0.002148997134670441,1.0,0.7939107939627467,0.6526318952478057,0.6526318952478057,0.6526318952478057,0.6939107939627467,0.6526318952478057,-0.04127889871494095,0.0,0.6939107939627467,0,0,0.0014912123079428336,4.127889871494095e-05,0.987097882382296,1.0369714627066806,0.048095422215579255,0.0,0.0,0.0,0.041257403718243615,0.0,0.0,-0.06919796999101303
17,13.8,-0.013581129378127199,1.0,0.7526318952478057,0.6595228813623738,0.6595228813623738,0.6595228813623738,0.6526318952478057,0.6595228813623738,0.006890986114568065,0.0,0.6526318952478057,0,0,-0.008863478205652807,6.890986114568065e-06,0.9783419597371532,1.0369714627066806,0.05653916725586058,0.008443745040281322,0.0,0.0,0.02681731241685835,0.0,0.0,-0.05531426311569121
18,13.06,-0.05362318840579711,1.0,0.7595228813623738,0.6173041664109604,0.6173041664109604,0.6173041664109604,0.6595228813623738,0.6173041664109604,-0.04221871495141338,0.006890986114568065,0.6526318952478057,0,0,-0.03536571972522875,4.221871495141338e-05,0.943700887853335,1.0369714627066806,0.08994517034238611,0.03340600308652553,0.0,0.0,0.017431253070957928,0.0,0.0,-0.15333532375174228
19,12.63,-0.03292496171516077,1.0,0.7173041664109604,0.4128427043603956,0.4128427043603956,0.4128427043603956,0.6173041664109604,0.4128427043603956,-0.2044614620505648,0.0,0.6173041664109604,0,0,-0.020324716045690108,0.00020446146205056482,0.9243274848123814,1.0369714627066806,0.10862784748220396,0.018682677139817847,0.0,0.0,0.011330314496122653,0.0,0.0,-0.19069543576634565
20,11.96,-0.05304829770387964,1.0,0.5128427043603956,0.3230379739779624,0.3230379739779624,0.3230379739779624,0.4128427043603956,0.3230379739779624,-0.0898047303824332,0.0,0.4128427043603956,0,0,-0.021900602685785038,8.98047303824332e-05,0.9040011468353957,1.0369714627066806,0.12822948427549652,0.019601636793292562,0.0,0.0,0.0073647044224797245,0.0,0.0,-0.1362791520855
21,12.37,0.03428093645484936,1.0,0.4230379739779624,0.26178286261966827,0.26178286261966827,0.26178286261966827,0.3230379739779624,0.26178286261966827,-0.061255111358294145,0.0,0.3230379739779624,0,0,0.01107404425844181,6.125511135829415e-05,0.9139567208542155,1.0369714627066806,0.11862885940117836,0.0,0.0,0.0,0.004787057874611821,0.0,0.0,-0.06971320786454259
22,11.83,-0.043654001616814805,1.0,0.3617828626196683,0.2917848140008574,0.2917848140008574,0.2917848140008574,0.26178286261966827,0.2917848140008574,0.030001951381189107,0.0,0.26178286261966827,0,0,-0.011427869508053407,3.0001951381189107e-05,0.9034847222271816,1.0369714627066806,0.12872749663821492,0.010098637237036565,0.0,0.0,0.003111587618497684,0.0,0.0,-0.046635189210955746
23,12.24,0.03465765004226544,1.0,0.3917848140008574,0.26022657603137656,0.26022657603137656,0.26022657603137656,0.2917848140008574,0.26022657603137656,-0.03155823796948082,0.030001951381189107,0.26178286261966827,0,0,0.010112575971289228,3.1558237969480816e-05,0.9125927677337372,1.0369714627066806,0.11994418308127093,0.0,0.0,0.0,0.0020225319520234945,0.0,0.0,-0.05569304986121884
24,12.29,0.0040849673202613505,1.0,0.36022657603137653,0.28767442181784336,0.28767442181784336,0.28767442181784336,0.26022657603137656,0.28767442181784336,0.027447845786466807,0.0,0.26022657603137656,0,0,0.001063017058951679,2.7447845786466807e-05,0.9135378207081595,1.0369714627066806,0.11903282437140295,0.0,0.0,0.0,0.0013146457688152716,0.0,0.0,-0.03521362464454424
25,12.54,0.020341741253051264,1.0,0.3876744218178434,0.2905224295340463,0.2905224295340463,0.2905224295340463,0.28767442181784336,0.2905224295340463,0.002848007716202916,0.027447845786466807,0.26022657603137656,0,0,0.005851798653739695,2.848007716202916e-06,0.9188810583347574,1.0369714627066806,0.11388009084038452,0.0,0.0,0.0,0.0008545197497299266,0.0,0.0,-0.04261334203439877
26,12.33,-0.016746411483253516,1.0,0.39052242953404626,0.30662471745217423,0.30662471745217423,0.30662471745217423,0.2905224295340463,0.30662471745217423,0.016102287918127955,0.002848007716202916,0.28767442181784336,0,0,-0.004865208150091663,1.6102287918127957e-05,0.9143957146334185,1.0369714627066806,0.11820551720229361,0.004325426361909093,0.040151942738662,0.012311578097398116,0.004864490171413793,0.0,0.0,-0.04719265239845082
27,11.88,-0.036496350364963445,1.0,0.4066247174521742,0.2931077577180821,0.2931077577180821,0.2931077577180821,0.30662471745217423,0.2931077577180821,-0.013516959734092115,0.016102287918127955,0.2905224295340463,0,0,-0.011190683118692472,1.3516959734092116e-05,0.90415064209581,1.0369714627066806,0.12808531901561165,0.009879801813318045,0.0,0.0,0.0031619186114189655,0.0,0.0,-0.0678856719444918
28,11.71,-0.014309764309764304,1.0,0.39310775771808215,0.2622333899151329,0.2622333899151329,0.2622333899151329,0.2931077577180821,0.2622333899151329,-0.03087436780294922,0.0,0.2931077577180821,0,0,-0.004194302930309254,3.087436780294922e-05,0.9003304453287533,1.0369714627066806,0.13176931313159757,0.0036839941159859113,0.0,0.0,0.0020552470974223276,0.0,0.0,-0.06965434126341989
